besar	big
kecil	small
besar sekali	huge
kecil sekali	tiny
sedang	medium
panjang	long
pendek	short
tinggi	tall
rendah	low
lebar	wide
sempit	narrow
tebal	thick
tipis	thin
dalam	deep
dangkal	shallow
bulat	round
persegi	square
segitiga	triangular
oval	oval
bundar	circular
merah	red
biru	blue
hijau	green
kuning	yellow
orange	orange
ungu	purple
pink	pink
hitam	black
putih	white
abu-abu	gray
coklat	brown
emas	golden
perak	silver
transparan	transparent
bening	clear
keruh	murky
gelap	dark
terang	bright
pucat	pale
mencolok	striking
lembut	soft
keras	hard
kasar	rough
halus	smooth
licin	slippery
kering	dry
basah	wet
lembab	moist
berminyak	oily
lengket	sticky
renyah	crispy
kenyal	chewy
empuk	tender
alot	tough
berat	heavy
ringan	light
padat	dense
kosong	empty
penuh	full
sesak	crowded
lapang	spacious
rapat	tight
longgar	loose
ketat	tight-fitting
panas	hot
dingin	cold
hangat	warm
sejuk	cool
es	icy
mendidih	boiling
beku	frozen
segar	fresh
basi	stale
anyir	fishy
harum	fragrant
wangi	sweet-smelling
bau	smelly
busuk	rotten
tajam	sharp
tumpul	blunt
runcing	pointed
rata	flat
bergelombang	wavy
berombak	wavy
melengkung	curved
lurus	straight
bengkok	bent
miring	slanted
vertikal	vertical
horizontal	horizontal
diagonal	diagonal
paralel	parallel
tegak lurus	perpendicular
berkilau	shiny
kusam	dull
mengkilap	glossy
matte	matte
buram	blurry
jelas	clear
kabur	unclear
