di	in/at/on
dalam	inside
ke	to
dari	from
untuk	for
pada	on/at
dengan	with
tanpa	without
oleh	by
bagi	for
kepada	to (person)
terhadap	toward
menuju	toward
hingga	until
sampai	until/to
sejak	since
selama	during
saat	during
ketika	when
sebelum	before
sesudah	after
setelah	after
atas	above/on top
bawah	below/under
depan	front
belakang	back
kiri	left
kanan	right
tengah	middle
pusat	center
antara	between
diantara	among
sekitar	around
sekeliling	surrounding
dekat	near
jauh	far
luar	outside
dalam	inside
atas	up/above
bawah	down/below
muka	front
belakang	behind
samping	beside
sebelah	next to
pinggir	edge
tepi	edge
sudut	corner
sisi	side
pojok	corner
ujung	end
pangkal	base
tengah-tengah	middle
pertengahan	middle part
sepanjang	along
melintang	across
menyeberang	crossing
lewat	through/past
melewati	passing through
melalui	through
via	via
menuju	heading to
arah	direction
tujuan	destination
tempat	place
lokasi	location
posisi	position
titik	point
wilayah	area
daerah	region
kawasan	zone
lingkungan	environment
ruang	space
bidang	field
lapangan	field
halaman	yard
gedung	building
lantai	floor
kamar	room
rumah	house
luar negeri	abroad
dalam negeri	domestic
pedalaman	interior
pantai	coast
gunung	mountain
kota	city
desa	village
jalan	road
gang	alley
lorong	corridor
tangga	stairs
lift	elevator
pintu	door
jendela	window
gerbang	gate
pagar	fence
tembok	wall
atap	roof
lantai	floor
basement	basement
garasi	garage
