alam	nature
lingkungan	environment
hewan	animal
binatang	animal
mamalia	mammal
burung	bird
ikan	fish
reptil	reptile
serangga	insect
kucing	cat
anjing	dog
sapi	cow
kerbau	buffalo
kambing	goat
ayam	chicken
bebek	duck
angsa	goose
elang	eagle
merpati	pigeon
burung hantu	owl
gajah	elephant
harimau	tiger
singa	lion
beruang	bear
monyet	monkey
kera	ape
ular	snake
buaya	crocodile
kodok	frog
kura-kura	turtle
kupu-kupu	butterfly
lebah	bee
nyamuk	mosquito
semut	ant
laba-laba	spider
tumbuhan	plant
pohon	tree
bunga	flower
rumput	grass
daun	leaf
akar	root
batang	stem
cabang	branch
ranting	twig
buah	fruit
biji	seed
hutan	forest
rimba	jungle
padang	grassland
gunung	mountain
bukit	hill
lembah	valley
sungai	river
danau	lake
laut	sea
pantai	beach
pulau	island
gua	cave
batu	rock
tanah	soil
pasir	sand
tanah liat	clay
cuaca	weather
iklim	climate
musim	season
hujan	rain
salju	snow
angin	wind
badai	storm
topan	typhoon
gempa bumi	earthquake
banjir	flood
kekeringan	drought
kabut	fog
embun	dew
petir	lightning
guntur	thunder
pelangi	rainbow
matahari	sun
bulan	moon
bintang	star
langit	sky
awan	cloud
udara	air
atmosfer	atmosphere
oksigen	oxygen
karbon dioksida	carbon dioxide
air	water
es	ice
uap	vapor
api	fire
panas	heat
dingin	cold
cahaya	light
kegelapan	darkness
bayangan	shadow
ekosistem	ecosystem
habitat	habitat
spesies	species
populasi	population
evolusi	evolution
genetika	genetics
polusi	pollution
sampah	garbage
limbah	waste
daur ulang	recycling
konservasi	conservation
pelestarian	preservation
