pekerjaan	job
profesi	profession
karier	career
jabatan	position
tugas	task
tanggung jawab	responsibility
gaji	salary
upah	wage
bonus	bonus
tunjangan	allowance
kantor	office
perusahaan	company
bisnis	business
industri	industry
organisasi	organization
karyawan	employee
pegawai	worker
staf	staff
manajer	manager
direktur	director
bos	boss
atasan	superior
bawahan	subordinate
rekan kerja	colleague
tim	team
departemen	department
divisi	division
rapat	meeting
presentasi	presentation
proyek	project
kontrak	contract
kesepakatan	agreement
negosiasi	negotiation
kerjasama	cooperation
kemitraan	partnership
klien	client
pelanggan	customer
pasar	market
penjualan	sales
pembelian	purchase
keuntungan	profit
kerugian	loss
pendapatan	income
pengeluaran	expenditure
investasi	investment
modal	capital
utang	debt
pinjaman	loan
bank	bank
asuransi	insurance
sekolah	school
universitas	university
institut	institute
akademi	academy
fakultas	faculty
jurusan	major
program	program
kelas	class
mata pelajaran	subject
pelajaran	lesson
ujian	exam
tes	test
tugas	assignment
PR	homework
nilai	grade
rapor	report card
ijazah	diploma
sertifikat	certificate
gelar	degree
sarjana	bachelor
magister	master
doktor	doctor
profesor	professor
guru	teacher
dosen	lecturer
murid	student
siswa	pupil
mahasiswa	university student
alumni	alumni
perpustakaan	library
laboratorium	laboratory
ruang kelas	classroom
auditorium	auditorium
kampus	campus
asrama	dormitory
beasiswa	scholarship
penelitian	research
skripsi	thesis
disertasi	dissertation
seminar	seminar
konferensi	conference
workshop	workshop
pelatihan	training
kursus	course
keahlian	skill
kemampuan	ability
bakat	talent
pengalaman	experience
pengetahuan	knowledge
pendidikan	education
pembelajaran	learning
pengajaran	teaching
kurikulum	curriculum
silabus	syllabus
metodologi	methodology
teknologi	technology
komputer	computer
internet	internet
email	email
website	website
aplikasi	application
software	software
