berbicara	speak
berkata	say
mengucapkan	utter
bercerita	tell
menjawab	answer
bertanya	ask
mendengar	hear
mendengarkan	listen
melihat	see
menonton	watch
membaca	read
menulis	write
menggambar	draw
berpikir	think
mengingat	remember
melupakan	forget
mengetahui	know
mengenal	recognize
memahami	understand
mempelajari	learn
mengajar	teach
menjelaskan	explain
menunjukkan	show
memberitahu	inform
mengabari	notify
memanggil	call
berteriak	shout
berbisik	whisper
tertawa	laugh
menangis	cry
tersenyum	smile
memarahi	scold
memuji	praise
mengkritik	criticize
berdiskusi	discuss
berdebat	debate
menyetujui	agree
menolak	refuse
meyakini	believe
mempercayai	trust
meragukan	doubt
mengharap	hope
menginginkan	want
menyukai	like
mencintai	love
membenci	hate
menakuti	frighten
mengkhawatirkan	worry
bermimpi	dream
membayangkan	imagine
merencanakan	plan
memutuskan	decide
memilih	choose
menentukan	determine
mempertimbangkan	consider
menganalisis	analyze
mengevaluasi	evaluate
mengamati	observe
memperhatikan	notice
menyaksikan	witness
mengawasi	watch over
memantau	monitor
menyelidiki	investigate
meneliti	research
memprediksi	predict
memperkirakan	estimate
menduga	guess
mengira	think/suppose
berasumsi	assume
menyimpulkan	conclude
menafsirkan	interpret
menerjemahkan	translate
mengartikan	mean
menyatakan	state
mengumumkan	announce
memproklamirkan	proclaim
menyerukan	call for
mengajukan	propose
menyarankan	suggest
merekomendasikan	recommend
menasihati	advise
memperingatkan	warn
mengancam	threaten
berjanji	promise
bersumpah	swear
mengakui	admit
menyangkal	deny
membantah	contradict
membenarkan	confirm
membuktikan	prove
meyakinkan	convince
membujuk	persuade
merayu	coax
memohon	beg
meminta	request
menuntut	demand
