membuat	make
menciptakan	create
membangun	build
membentuk	form
merancang	design
menyusun	arrange
merakit	assemble
memproduksi	produce
mengembangkan	develop
melahirkan	give birth to
menumbuhkan	grow
menanam	plant
mengerjakan	work on
menyelesaikan	complete
menyiapkan	prepare
memasak	cook
melukis	paint
menggambar	draw
menulis	write
mengkomposisikan	compose
merekam	record
memotret	photograph
mencetak	print
memahat	sculpt
mengukir	carve
merajut	knit
menjahit	sew
membordir	embroider
menganyam	weave
merangkai	arrange flowers
mereparasi	repair
merenovasi	renovate
merestorasi	restore
memulihkan	restore
memperbarui	renew
memodifikasi	modify
mengubah	modify
meningkatkan	improve
menyempurnakan	perfect
mengoptimalkan	optimize
mendekorasi	decorate
menghias	decorate
memperindah	beautify
merusak	break
menghancurkan	destroy
merobohkan	demolish
membakar	burn
meledakkan	explode
memecahkan	shatter
menyobek	tear
memotong	cut
mengiris	slice
mencabik	rip
membuang	throw away
menghapus	erase
menghilangkan	eliminate
membongkar	dismantle
meruntuhkan	collapse
menggulingkan	overthrow
menumbangkan	topple
meluluhkan	melt down
mengikis	erode
menggerus	grind down
melarutkan	dissolve
membusukkan	rot
mengkontaminasi	contaminate
mencemari	pollute
meracuni	poison
menginfeksi	infect
membersihkan	clean
mencuci	wash
mengelap	wipe
menyapu	sweep
mengepel	mop
menggosok	scrub
menyikat	brush
memoles	polish
merapikan	tidy
mengorganisir	organize
mengatur	arrange
menyortir	sort
memilah	separate
mengelompokkan	group
mengkategorikan	categorize
mengklasifikasikan	classify
mendisinfeksi	disinfect
mensterilkan	sterilize
memurnikan	purify
menyaring	filter
mendaur ulang	recycle
memproses	process
mengolah	process
mentransformasi	transform
mengkonversi	convert
memperbaiki	fix
membetulkan	correct
menyervis	service
memelihara	maintain
merawat	maintain
mengkalibrasi	calibrate
menyetel	adjust
mengatur ulang	reset
memformat	format
